email,full name,role,is active,must change password,is demo
driver_ygn009@britiumexpress.com,BRITIUM EXPRESS,DRIVER,TRUE,TRUE,TRUE
driver_ygn010@britiumexpress.com,BRITIUM EXPRESS,DRIVER,TRUE,TRUE,TRUE
driver_mdy001@britiumexpress.com,BRITIUM EXPRESS,DRIVER,TRUE,TRUE,TRUE
driver_mdy002@britiumexpress.com,BRITIUM EXPRESS,DRIVER,TRUE,TRUE,TRUE
driver_mdy003@britiumexpress.com,BRITIUM EXPRESS,DRIVER,TRUE,TRUE,TRUE
driver_npw001@britiumexpress.com,BRITIUM EXPRESS,DRIVER,TRUE,TRUE,TRUE
driver_npw002@britiumexpress.com,BRITIUM EXPRESS,DRIVER,TRUE,TRUE,TRUE
driver_npw003@britiumexpress.com,BRITIUM EXPRESS,DRIVER,TRUE,TRUE,TRUE
helper_ygn001@britiumexpress.com,BRITIUM EXPRESS,HELPER,TRUE,TRUE,TRUE
helper_ygn002@britiumexpress.com,BRITIUM EXPRESS,HELPER,TRUE,TRUE,TRUE
helper_ygn003@britiumexpress.com,BRITIUM EXPRESS,HELPER,,TRUE,TRUE
helper_ygn004@britiumexpress.com,BRITIUM EXPRESS,HELPER,,TRUE,TRUE
helper_ygn005@britiumexpress.com,BRITIUM EXPRESS,HELPER,,TRUE,TRUE
helper_ygn006@britiumexpress.com,BRITIUM EXPRESS,HELPER,,TRUE,TRUE
helper_ygn007@britiumexpress.com,BRITIUM EXPRESS,HELPER,,TRUE,TRUE
helper_ygn008@britiumexpress.com,BRITIUM EXPRESS,HELPER,,TRUE,TRUE
helper_ygn009@britiumexpress.com,BRITIUM EXPRESS,HELPER,,TRUE,TRUE
helper_ygn0010@britiumexpress.com,BRITIUM EXPRESS,HELPER,,TRUE,TRUE
helper_mdy001@britiumexpress.com,BRITIUM EXPRESS,HELPER,,TRUE,TRUE
helper_mdy002@britiumexpress.com,BRITIUM EXPRESS,HELPER,,TRUE,TRUE
helper_mdy003@britiumexpress.com,BRITIUM EXPRESS,HELPER,,TRUE,TRUE
helper_npw001@britiumexpress.com,BRITIUM EXPRESS,HELPER,,TRUE,TRUE
helper_npw002@britiumexpress.com,BRITIUM EXPRESS,HELPER,,TRUE,TRUE
helper_npw003@britiumexpress.com,BRITIUM EXPRESS,HELPER,,TRUE,TRUE
rider_ygn00001@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_ygn00002@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_ygn00003@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_ygn00004@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_ygn00005@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_ygn00006@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_ygn00007@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_ygn00008@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_ygn00009@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_ygn00010@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_ygn00011@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_ygn00012@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_ygn00013@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_ygn00014@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_ygn00015@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_ygn00016@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_ygn00017@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_ygn00018@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_ygn00019@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_ygn00020@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_ygn00021@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_ygn00022@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_ygn00023@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_ygn00024@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_ygn00025@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_ygn00026@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_ygn00027@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_ygn00028@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_ygn00029@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_ygn00030@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_mdy00001@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_mdy00002@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_mdy00003@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_mdy00004@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_mdy00005@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_mdy00006@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_mdy00007@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_mdy00008@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_mdy00009@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_mdy00010@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_mdy00011@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_mdy00012@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_mdy00013@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_mdy00014@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_mdy00015@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_mdy00016@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_mdy00017@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_mdy00018@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_npw00001@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_npw00002@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_npw00003@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_npw00004@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_npw00005@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_npw00006@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_npw00007@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_npw00008@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_npw00009@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_npw00010@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_npw00011@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_npw00012@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_npw00013@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_npw00014@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_npw00015@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_npw00016@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_npw00017@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
rider_npw00018@britiumexpress.com,BRITIUM EXPRESS,RIDER,,TRUE,TRUE
